Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
AIDS deaths,2012,Iowa,19,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,36,1.4,2553591.00
AIDS deaths,2013,Iowa,19,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,38,1.5,2570198.00
AIDS deaths,2014,Iowa,19,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,49,1.9,2585119.00
AIDS deaths,2015,Iowa,19,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,29,1.1,2595775.00
AIDS deaths,2016,Iowa,19,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,28,1.1,2605250.00
AIDS deaths,2017,Iowa,19,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,31,1.2,2617029.00
AIDS deaths,2011,Kansas,20,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,40,1.7,2340115.00
AIDS deaths,2012,Kansas,20,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,39,1.7,2356616.00
AIDS deaths,2013,Kansas,20,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,42,1.8,2367607.00
AIDS deaths,2014,Kansas,20,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,35,1.5,2377652.00
AIDS deaths,2015,Kansas,20,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,43,1.8,2388086.00
AIDS deaths,2016,Kansas,20,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,36,1.5,2393712.00
AIDS deaths,2017,Kansas,20,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,37,1.5,2397743.00
AIDS deaths,2011,Kentucky,21,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,92,2.5,3632735.00
AIDS deaths,2012,Kentucky,21,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,88,2.4,3652563.00
AIDS deaths,2013,Kentucky,21,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,90,2.4,3673716.00
AIDS deaths,2014,Kentucky,21,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,87,2.4,3686449.00
AIDS deaths,2015,Kentucky,21,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,93,2.5,3699491.00
AIDS deaths,2016,Kentucky,21,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,94,2.5,3712013.00
AIDS deaths,2017,Kentucky,21,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,100,2.7,3728831.00
AIDS deaths,2011,Louisiana,22,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,406,10.8,3766665.00
AIDS deaths,2012,Louisiana,22,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,393,10.4,3793129.00
AIDS deaths,2013,Louisiana,22,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,355,9.3,3819669.00
AIDS deaths,2014,Louisiana,22,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,341,8.9,3839337.00
AIDS deaths,2015,Louisiana,22,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,347,9,3858097.00
AIDS deaths,2016,Louisiana,22,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,333,8.6,3871344.00
AIDS deaths,2017,Louisiana,22,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,306,7.9,3868605.00
AIDS deaths,2011,Maine,23,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,15,1.3,1140816.00
AIDS deaths,2012,Maine,23,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,17,1.5,1142956.00
AIDS deaths,2013,Maine,23,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,24,2.1,1145689.00
AIDS deaths,2014,Maine,23,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,15,1.3,1150000.00
AIDS deaths,2015,Maine,23,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,15,1.3,1149501.00
AIDS deaths,2016,Maine,23,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,16,1.4,1153307.00
AIDS deaths,2017,Maine,23,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,25,2.2,1157986.00
AIDS deaths,2011,Maryland,24,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,486,10,4877694.00
AIDS deaths,2012,Maryland,24,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,505,10.3,4924611.00
AIDS deaths,2013,Maryland,24,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,497,10,4962705.00
AIDS deaths,2014,Maryland,24,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,480,9.6,4994516.00
AIDS deaths,2015,Maryland,24,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,456,9.1,5021726.00
AIDS deaths,2016,Maryland,24,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,511,10.1,5039003.00
AIDS deaths,2017,Maryland,24,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,467,9.2,5060236.00
AIDS deaths,2011,Massachusetts,25,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,222,3.9,5622961.00
AIDS deaths,2012,Massachusetts,25,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,222,3.9,5676159.00
AIDS deaths,2013,Massachusetts,25,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,220,3.8,5730770.00
AIDS deaths,2014,Massachusetts,25,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,213,3.7,5785038.00
AIDS deaths,2015,Massachusetts,25,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,225,3.9,5821545.00
AIDS deaths,2016,Massachusetts,25,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,217,3.7,5857445.00
AIDS deaths,2017,Massachusetts,25,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,229,3.9,5899032.00
AIDS deaths,2011,Michigan,26,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,245,3,8271309.00
AIDS deaths,2012,Michigan,26,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,274,3.3,8304912.00
AIDS deaths,2013,Michigan,26,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,229,2.7,8337871.00
AIDS deaths,2014,Michigan,26,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,219,2.6,8369488.00
AIDS deaths,2015,Michigan,26,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,236,2.8,8383578.00
AIDS deaths,2016,Michigan,26,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,225,2.7,8409723.00
AIDS deaths,2017,Michigan,26,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,224,2.7,8441967.00
AIDS deaths,2011,Minnesota,27,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,69,1.6,4422318.00
AIDS deaths,2012,Minnesota,27,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,68,1.5,4453587.00
AIDS deaths,2013,Minnesota,27,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,64,1.4,4489740.00
AIDS deaths,2014,Minnesota,27,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,70,1.5,4524856.00
AIDS deaths,2015,Minnesota,27,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,69,1.5,4553008.00
